,title,post_date,transcript_link,audio_link
0,Making a Difference in Workersâ€™ Compensation Claims,March 2022,https://www.aimmutual.com/resources/podcasts/transcripts/workplace.html,https://www.buzzsprout.com/1809953/10180674-making-a-difference-in-workers-compensation-claims?client_source=small_player&iframe=true&referrer=https://www.buzzsprout.com/1809953/9079210-2021-kickoff-our-partnership-with-gillette-stadium-and-the-new-england-patriots.js?container_id=buzzsprout-player-8776651&player=large
1,The Bottomline Benefits of Workplace Ergonomics,August 2020,https://www.aimmutual.com/resources/podcasts/transcripts/ergonomics/ergonomics.html,https://www.buzzsprout.com/1809953/8776651-the-bottomline-benefits-of-workplace-ergonomics?client_source=small_player&iframe=true&referrer=https://www.buzzsprout.com/1809953/8776651-the-bottomline-benefits-of-workplace-ergonomics.js?container_id=buzzsprout-player-8776651&player=large
2,Three Must-Have Elements in Workplace Safety,August 2020,https://www.aimmutual.com/resources/podcasts/transcripts/workplace_saftey/workplace_saftey.html,https://www.buzzsprout.com/1809953/8776613-three-must-have-elements-in-workplace-safety?client_source=small_player&iframe=true&referrer=https://www.buzzsprout.com/1809953/8776613-three-must-have-elements-in-workplace-safety.js?container_id=buzzsprout-player-8776651&player=large
3,Social Distancing While Bringing the Workforce Back Together,June 2020,https://www.aimmutual.com/resources/podcasts/transcripts/social_distance/social_distance.html,https://www.buzzsprout.com/1809953/8776688-social-distancing-while-bringing-the-workforce-back-together?client_source=small_player&iframe=true&referrer=https://www.buzzsprout.com/1809953/8776688-social-distancing-while-bringing-the-workforce-back-together.js?container_id=buzzsprout-player-8776651&player=large
4,Workplace Safety: Top Questions Employers Are Asking,July 2020,https://www.aimmutual.com/resources/podcasts/transcripts/FAQ/faqs.html,https://www.buzzsprout.com/1809953/8776680-workplace-safety-top-questions-employers-are-asking?client_source=small_player&iframe=true&referrer=https://www.buzzsprout.com/1809953/8776680-workplace-safety-top-questions-employers-are-asking.js?container_id=buzzsprout-player-8776651&player=large
5,Staying a Step Ahead with Technology,March 2019,https://www.aimmutual.com/resources/podcasts/transcripts/staying-ahead-technology/index.html,https://www.buzzsprout.com/1809953/8776845-staying-a-step-ahead-with-technology?client_source=small_player&iframe=true&referrer=https://www.buzzsprout.com/1809953/8776845-staying-a-step-ahead-with-technology.js?container_id=buzzsprout-player-8776651&player=large
6,Building Wellness into Injury Prevention,March 2019,https://www.aimmutual.com/resources/podcasts/transcripts/building-wellness/index.html,https://www.buzzsprout.com/1809953/8776813-building-wellness-into-injury-prevention?client_source=small_player&iframe=true&referrer=https://www.buzzsprout.com/1809953/8776813-building-wellness-into-injury-prevention.js?container_id=buzzsprout-player-8776651&player=large
7,Recruitment Challenges for the Insurance Industry,March 2019,https://www.aimmutual.com/resources/podcasts/transcripts/recruiting-part-1/index.html,https://www.buzzsprout.com/1809953/8776825-recruitment-challenges-for-the-insurance-industry?client_source=small_player&iframe=true&referrer=https://www.buzzsprout.com/1809953/8776825-recruitment-challenges-for-the-insurance-industry.js?container_id=buzzsprout-player-8776651&player=large
8,Recruiting for Insurance: Technology and Creativity,March 2019,https://www.aimmutual.com/resources/podcasts/transcripts/recruiting-part-2/index.html,https://www.buzzsprout.com/1809953/8776836-recruiting-for-insurance-technology-and-creativity?client_source=small_player&iframe=true&referrer=https://www.buzzsprout.com/1809953/8776836-recruiting-for-insurance-technology-and-creativity.js?container_id=buzzsprout-player-8776651&player=large



